,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,62.45,63.76,84.39,68.77,68.15,43.4,66.49,65.3442857142857
1,allmpnet,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.43,81.56,93.33,89.48,83.31,90.2,73.45,84.10857142857144
2,allmpnet,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.76,81.09,92.97,89.25,82.48,86.6,68.41,82.50857142857144
3,allmpnet,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,71.5,78.6,89.79,88.48,75.62,86.8,70.9,80.24142857142859
4,allmpnet,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.97,80.77,92.27,88.39,82.21,82.0,73.04,82.23571428571428
5,allmpnet,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.51,79.0,91.83,87.75,81.33,79.8,64.58,80.11428571428571
6,allmpnet,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,71.68,62.62,88.68,68.73,54.7,80.0,72.52,71.27571428571429
7,allmpnet,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,64.87,63.76,85.53,70.81,69.03,42.0,66.49,66.07000000000001
8,allmpnet,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.48,85.33,93.99,90.22,84.13,90.6,75.3,85.57857142857142
9,allmpnet,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.61,83.84,93.73,89.52,83.96,90.0,71.48,84.44857142857143
10,allmpnet,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.87,79.89,91.58,88.34,78.91,90.4,72.87,82.40857142857142
11,allmpnet,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.22,82.01,93.16,89.43,83.58,85.0,73.57,83.56714285714285
12,allmpnet,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.34,81.61,93.18,88.81,82.98,85.4,67.54,82.40857142857143
13,allmpnet,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.61,62.54,90.67,68.62,53.32,84.4,74.26,72.63142857142857
14,allmpnet,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,73.13,75.47,89.43,83.38,79.35,76.2,71.48,78.34857142857142
15,allmpnet,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.83,85.54,94.65,90.07,85.5,91.8,74.55,86.13428571428571
16,allmpnet,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.12,84.0,94.28,89.6,84.18,91.2,69.97,84.62142857142858
17,allmpnet,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.1,81.88,92.77,88.8,82.15,91.6,72.17,83.78142857142858
18,allmpnet,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.25,83.39,94.1,89.42,84.73,88.4,71.77,84.43714285714286
19,allmpnet,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.57,82.81,93.85,88.92,84.07,87.2,67.54,83.27999999999999
20,allmpnet,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.32,63.18,92.25,68.7,60.52,87.0,73.57,74.50571428571428
21,allmpnet,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,75.44,76.9,91.84,86.78,81.66,83.6,68.17,80.62714285714286
22,allmpnet,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.41,87.23,95.35,90.4,85.78,92.8,75.07,86.86285714285714
23,allmpnet,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.4,86.17,94.6,89.35,85.39,94.0,70.03,85.70571428571428
24,allmpnet,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.68,84.45,93.4,89.38,82.92,91.0,73.51,84.76285714285713
25,allmpnet,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.79,85.62,94.74,89.61,85.5,88.4,72.75,85.34428571428573
26,allmpnet,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.31,84.19,94.52,88.89,84.13,91.2,64.46,83.81428571428572
27,allmpnet,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.18,62.65,93.01,68.73,65.68,89.6,75.01,76.12285714285714
28,allmpnet,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.35,84.19,94.5,87.41,84.29,85.6,70.61,83.70714285714284
29,allmpnet,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.48,89.59,95.46,90.9,88.36,94.4,77.1,88.61285714285714
30,allmpnet,SUM_LYR-5,simple,SUM,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.28,89.11,95.38,90.48,87.48,94.4,73.68,87.68714285714285
31,allmpnet,MAX_LYR-5,simple,MAX,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.87,86.44,94.11,89.66,85.67,93.4,76.29,86.63428571428572
32,allmpnet,AVG-NS_LYR-5,simple-ns,AVG-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.2,87.63,95.29,90.12,87.64,91.8,74.09,87.11
33,allmpnet,SUM-NS_LYR-5,simple-ns,SUM-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.1,87.36,94.73,89.92,86.77,91.6,69.57,86.00714285714285
34,allmpnet,MAX-NS_LYR-5,simple-ns,MAX-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.11,64.45,93.91,68.7,66.89,90.2,75.13,77.05571428571429
35,allmpnet,CLS_LYR-6,simple,CLS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.82,88.32,94.37,68.79,86.44,46.2,69.97,76.55857142857143
36,allmpnet,AVG_LYR-6,simple,AVG,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.33,90.81,95.88,90.92,90.5,94.4,76.0,89.12
37,allmpnet,SUM_LYR-6,simple,SUM,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.82,89.75,95.46,90.56,89.73,94.8,73.86,88.28285714285714
38,allmpnet,MAX_LYR-6,simple,MAX,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.2,88.82,94.49,89.93,88.58,93.0,74.72,87.39142857142858
39,allmpnet,AVG-NS_LYR-6,simple-ns,AVG-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.44,89.56,95.65,90.23,89.29,92.0,73.86,87.86142857142859
40,allmpnet,SUM-NS_LYR-6,simple-ns,SUM-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.82,89.27,95.15,89.88,88.8,90.8,70.43,86.7357142857143
41,allmpnet,MAX-NS_LYR-6,simple-ns,MAX-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.44,62.07,94.14,68.71,68.86,88.8,74.78,76.97142857142856
42,allmpnet,CLS_LYR-7,simple,CLS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.55,89.46,94.04,68.75,88.8,43.2,70.26,76.72285714285715
43,allmpnet,AVG_LYR-7,simple,AVG,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,86.29,91.76,95.95,90.82,91.05,95.4,76.0,89.61
44,allmpnet,SUM_LYR-7,simple,SUM,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.96,91.07,95.65,90.29,90.5,94.4,70.9,88.25285714285714
45,allmpnet,MAX_LYR-7,simple,MAX,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.71,89.8,94.25,89.76,89.02,94.4,75.71,88.09285714285714
46,allmpnet,AVG-NS_LYR-7,simple-ns,AVG-NS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.35,90.28,95.68,90.37,90.33,92.4,73.45,88.26571428571428
47,allmpnet,SUM-NS_LYR-7,simple-ns,SUM-NS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.76,90.2,95.35,89.95,89.68,92.6,72.23,87.68142857142857
48,allmpnet,MAX-NS_LYR-7,simple-ns,MAX-NS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.8,64.19,94.03,68.73,72.21,90.0,74.49,78.0642857142857
49,allmpnet,CLS_LYR-8,simple,CLS,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.31,89.3,94.05,84.4,87.04,70.6,68.87,82.51
50,allmpnet,AVG_LYR-8,simple,AVG,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,86.4,91.6,95.69,90.82,91.16,93.8,75.71,89.31142857142856
51,allmpnet,SUM_LYR-8,simple,SUM,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.07,90.49,95.16,90.15,90.12,95.6,73.74,88.61857142857143
52,allmpnet,MAX_LYR-8,simple,MAX,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.63,90.17,94.72,89.76,89.84,92.2,74.14,87.92285714285715
53,allmpnet,AVG-NS_LYR-8,simple-ns,AVG-NS,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.71,90.52,95.44,90.26,90.55,92.0,73.86,88.33428571428571
54,allmpnet,SUM-NS_LYR-8,simple-ns,SUM-NS,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.63,90.12,95.16,89.61,89.68,92.6,70.96,87.53714285714285
55,allmpnet,MAX-NS_LYR-8,simple-ns,MAX-NS,LYR-8,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.43,64.06,94.36,68.56,75.12,88.6,73.33,78.35142857142857
56,allmpnet,CLS_LYR-9,simple,CLS,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.4,85.46,91.81,79.19,86.44,74.6,66.32,80.88857142857144
57,allmpnet,AVG_LYR-9,simple,AVG,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,86.57,91.31,95.4,90.19,91.1,96.2,75.71,89.49714285714286
58,allmpnet,SUM_LYR-9,simple,SUM,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.12,90.81,95.26,89.97,90.39,95.6,72.87,88.57428571428571
59,allmpnet,MAX_LYR-9,simple,MAX,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.51,89.8,94.81,89.63,90.44,96.0,74.32,88.50142857142858
60,allmpnet,AVG-NS_LYR-9,simple-ns,AVG-NS,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.74,90.52,95.16,89.87,90.72,92.6,73.8,88.3442857142857
61,allmpnet,SUM-NS_LYR-9,simple-ns,SUM-NS,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.9,90.25,94.93,89.47,89.73,93.8,70.03,87.58714285714287
62,allmpnet,MAX-NS_LYR-9,simple-ns,MAX-NS,LYR-9,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.26,69.69,93.85,68.54,77.32,92.0,73.28,79.84857142857142
63,allmpnet,CLS_LYR-10,simple,CLS,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.35,63.82,81.51,68.77,84.51,47.6,66.2,69.96571428571428
64,allmpnet,AVG_LYR-10,simple,AVG,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,86.64,90.41,95.47,90.34,90.55,96.4,76.81,89.51714285714287
65,allmpnet,SUM_LYR-10,simple,SUM,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.81,90.38,94.93,89.69,90.61,96.6,71.59,88.37285714285714
66,allmpnet,MAX_LYR-10,simple,MAX,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.12,88.24,94.47,89.4,89.9,95.6,75.59,88.33142857142857
67,allmpnet,AVG-NS_LYR-10,simple-ns,AVG-NS,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.74,89.64,94.9,89.81,90.39,91.8,75.25,88.21857142857142
68,allmpnet,SUM-NS_LYR-10,simple-ns,SUM-NS,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.11,89.64,94.73,89.31,89.9,91.4,68.46,86.79285714285716
69,allmpnet,MAX-NS_LYR-10,simple-ns,MAX-NS,LYR-10,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.87,69.56,93.62,68.56,79.08,90.2,73.8,79.81285714285714
70,allmpnet,CLS_LYR-11,simple,CLS,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.22,77.96,87.59,82.36,84.07,89.4,69.04,81.37714285714286
71,allmpnet,AVG_LYR-11,simple,AVG,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.83,89.88,94.89,90.09,89.51,96.6,76.06,88.97999999999999
72,allmpnet,SUM_LYR-11,simple,SUM,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.35,90.14,94.58,89.69,89.95,94.8,69.68,87.59857142857143
73,allmpnet,MAX_LYR-11,simple,MAX,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.11,86.78,93.86,89.2,88.47,95.8,75.07,87.61285714285714
74,allmpnet,AVG-NS_LYR-11,simple-ns,AVG-NS,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.38,88.77,94.64,89.86,89.51,92.2,74.67,87.86142857142856
75,allmpnet,SUM-NS_LYR-11,simple-ns,SUM-NS,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.63,88.95,94.48,89.07,89.73,91.0,70.26,86.87428571428572
76,allmpnet,MAX-NS_LYR-11,simple-ns,MAX-NS,LYR-11,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.64,70.52,93.19,68.71,79.79,89.0,74.96,79.97285714285715
77,allmpnet,CLS_LYR-12,simple,CLS,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.86,87.1,93.35,89.18,88.03,91.0,74.32,86.69142857142856
78,allmpnet,AVG_LYR-12,simple,AVG,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.13,87.79,93.99,89.7,88.47,94.4,74.9,87.76857142857143
79,allmpnet,SUM_LYR-12,simple,SUM,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.91,87.05,93.85,89.54,88.03,94.6,69.57,86.64999999999999
80,allmpnet,MAX_LYR-12,simple,MAX,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.64,87.73,93.96,89.23,88.69,93.8,76.7,87.82142857142857
81,allmpnet,AVG-NS_LYR-12,simple-ns,AVG-NS,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.08,87.44,94.24,89.66,88.74,92.0,75.07,87.46142857142857
82,allmpnet,SUM-NS_LYR-12,simple-ns,SUM-NS,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.34,87.47,94.0,88.95,88.3,91.8,65.8,85.80857142857143
83,allmpnet,MAX-NS_LYR-12,simple-ns,MAX-NS,LYR-12,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.63,79.32,93.79,68.77,72.54,91.8,76.29,81.02
